idno,formid,form_model,title,nation,year_start,year_end,repositoryid,repo_title,created,changed,varcount,total_views,authoring_entity,total_downloads,rank,type,id,url,link_da,thumbnail
UNHCR_ETH_KAP_2017_SHIRE_HISTAST_v2.1,3,licensed,"KPC (KAP) Survey Report Shire, Hitsats camp - 2017",Ethiopia,2017,2017,EHA,East and Horn of Africa,2019-10-29T11:22:22+00:00,2019-10-29T11:22:51+00:00,129,19633,UNHCR,1250,1,survey,154,https://microdata.unhcr.org/index.php/catalog/154,,
UNHCR_ETH_KAP_2017_SHIRE_MAYINI_v2.1,3,licensed,"KPC (KAP) Survey Report Shire, May-Aini camp - 2017",Ethiopia,2017,2017,EHA,East and Horn of Africa,2019-10-29T11:29:20+00:00,2019-10-29T11:35:12+00:00,129,17011,UNHCR,8159,1,survey,155,https://microdata.unhcr.org/index.php/catalog/155,,
UNHCR_ETH_KAP_2017_SHIRE_SHIMELBA_v2.1,3,licensed,"KPC (KAP) Survey Report Shire, Shimelba camp - 2017",Ethiopia,2017,2017,EHA,East and Horn of Africa,2019-10-29T11:36:19+00:00,2019-10-29T11:36:46+00:00,129,14504,UNHCR,964,1,survey,156,https://microdata.unhcr.org/index.php/catalog/156,,
UNHCR_ETH_KAP_2017_GAMBELLA_PUGNIDO2_v2.1,3,licensed,KPC (KAP) Survey Report Gambella Region Pugnido II - 2017,Ethiopia,2017,2017,EHA,East and Horn of Africa,2019-10-29T13:02:00+00:00,2019-10-29T13:02:14+00:00,145,21797,UNHCR,922,1,survey,159,https://microdata.unhcr.org/index.php/catalog/159,,
UNHCR_NER_2016_KAP_KABLEWA_v2.1,3,licensed,"WASH KAP Survey Diffa Region, Kablewa - December 2016",Niger,2016,2016,WA,West and Central Africa,2019-10-29T13:18:12+00:00,2019-10-29T13:18:30+00:00,105,12189,UNHCR,1096,1,survey,160,https://microdata.unhcr.org/index.php/catalog/160,,
UNHCR_NER_KAP_2018_SAYAM_v2.1,3,licensed,"WASH KAP Survey Diffa region, Sayam Forage - August 2018",Niger,2018,2018,WA,West and Central Africa,2019-10-29T13:20:53+00:00,2019-10-29T13:21:07+00:00,105,14486,UNHCR,7194,1,survey,161,https://microdata.unhcr.org/index.php/catalog/161,,
UNHCR-ZWE-2019-KAP-v2.1,3,licensed,KAP WASH Survey in Tongorara Refugee Camp - 2019,Zimbabwe,2019,2019,SAO,Southern Africa,2019-10-30T13:14:22+00:00,2019-12-05T13:55:58+00:00,27,7381,UNHCR,1082,1,survey,164,https://microdata.unhcr.org/index.php/catalog/164,,
UNHCR_COG_2017_KAP_v2.1,3,licensed,KAP WASH Survey - 2017,"Congo, Rep.",2017,2017,SAO,Southern Africa,2019-10-30T13:34:51+00:00,2019-12-02T04:23:53+00:00,115,16159,"UNHCR, The UN Refugee Agency",4789,1,survey,165,https://microdata.unhcr.org/index.php/catalog/165,,
UNHCR-ZWE-LIS-2017-v2.1,3,licensed,Livelihoods Programme Monitoring Beneficiary Survey in 2017,Zimbabwe,2017,2017,SAO,Southern Africa,2019-12-04T20:28:52+00:00,2019-12-05T11:54:51+00:00,89,12893,United Nations High Commissioner for Refugees,910,1,survey,170,https://microdata.unhcr.org/index.php/catalog/170,,
UNHCR-ZMB-LIS-2017-v2.1,3,licensed,Livelihoods Programme Monitoring Beneficiary Survey in 2017,Zambia,2017,2017,SAO,Southern Africa,2019-12-04T20:46:22+00:00,2019-12-05T11:53:07+00:00,89,12174,United Nations High Commissioner for Refugees,830,1,survey,172,https://microdata.unhcr.org/index.php/catalog/172,,
UNHCR-MWI-LIS-2017-v2.1,3,licensed,Livelihoods Programme Monitoring Beneficiary Survey in 2017,Malawi,2017,2017,SAO,Southern Africa,2019-12-04T21:26:33+00:00,2019-12-05T11:51:03+00:00,89,15270,United Nations High Commissioner for Refugees,831,1,survey,174,https://microdata.unhcr.org/index.php/catalog/174,,
UNHCR_AFG_2017_SEA_Herat_v2.1,3,licensed,Socio-economic assessment of IDPs and returnees in the five most populated settlements of Afghanistan's Herat Province - 2017,Afghanistan,2017,2017,ASIA,Asia Pacific,2019-12-05T12:41:35+00:00,2019-12-05T12:46:47+00:00,185,25303,UNHCR,2854,1,survey,184,https://microdata.unhcr.org/index.php/catalog/184,,
UNHCR-MWI-2017-SEA-1.1,3,licensed,Socio-economic assessment of refugees and asylum seekers in Malawi's Dzaleka and Luwani camps 2017,Malawi,2017,2017,SAO,Southern Africa,2019-12-05T12:53:07+00:00,2019-12-05T12:56:05+00:00,538,77781,Office of the High Commissioner for Refugees,173524,1,survey,185,https://microdata.unhcr.org/index.php/catalog/185,,
UNHCR-RWA-2016-SEA-2.1,3,licensed,"Socio-economic assessment of refugees in Rwanda's Gihembe, Kigeme and Kiziba camps - 2016",Rwanda,2016,2016,EHA,East and Horn of Africa,2019-12-05T12:58:28+00:00,2019-12-05T13:06:47+00:00,507,58075,UNHCR,776,1,survey,186,https://microdata.unhcr.org/index.php/catalog/186,,
UNHCR-AFG-2017-SEA_KhostPaktika-2.1,3,licensed,Socio-economic assessment of Pakistani refugees in Afghanistan's Khost and Paktika provinces 2017,Afghanistan,2017,2017,ASIA,Asia Pacific,2019-12-05T13:11:53+00:00,2019-12-05T13:16:11+00:00,186,27520,UNHCR,4384,1,survey,187,https://microdata.unhcr.org/index.php/catalog/187,,
UNHCR-MOZ-LIS-2017-v2.1,3,licensed,Livelihoods Programme Monitoring Beneficiary Survey in 2017,Mozambique,2017,2017,SAO,Southern Africa,2019-12-05T13:45:53+00:00,2019-12-05T13:48:26+00:00,89,13938,United Nations High Commissioner for Refugees,541,1,survey,188,https://microdata.unhcr.org/index.php/catalog/188,,
UNHCR_LBN_2018_VASYR_v2.1,3,licensed,"Vulnerability Assessment of Syrian Refugees in Lebanon, 2018",Lebanon,2018,2018,MENA,Middle East and North Africa,2019-12-10T15:15:48+00:00,2020-05-20T11:20:42+00:00,659,71553,"UNHCR, WFP, UNICEF",1203,1,survey,189,https://microdata.unhcr.org/index.php/catalog/189,,
UNHCR-JOR-LIS-2017-v2.1,3,licensed,Livelihoods Programme Monitoring Beneficiary Survey in 2017,Jordan,2017,2017,MENA,Middle East and North Africa,2019-12-19T15:51:44+00:00,2019-12-19T15:54:29+00:00,89,15718,United Nations High Commissioner for Refugees,988,1,survey,191,https://microdata.unhcr.org/index.php/catalog/191,,
UNHCR-GIN-LIS-2017-v2.1,3,licensed,Livelihoods Programme Monitoring Beneficiary Survey in 2017,Guinea,2017,2017,WA,West and Central Africa,2019-12-19T21:06:46+00:00,2019-12-19T21:10:48+00:00,89,11065,United Nations High Commissioner for Refugees,816,1,survey,192,https://microdata.unhcr.org/index.php/catalog/192,,
UNHCR-GHA-LIS-2017-v2.1,3,licensed,Livelihoods Programme Monitoring Beneficiary Survey in 2017,Ghana,2017,2017,WA,West and Central Africa,2019-12-19T21:13:35+00:00,2019-12-19T21:16:36+00:00,89,12386,United Nations High Commissioner for Refugees,831,1,survey,193,https://microdata.unhcr.org/index.php/catalog/193,,
UNHCR-BFA-LIS-2017-2.1,3,licensed,Livelihoods Programme Monitoring Beneficiary Survey in 2017,Burkina Faso,2017,2017,WA,West and Central Africa,2019-12-19T21:18:08+00:00,2019-12-19T21:21:26+00:00,89,16130,United Nations High Commissioner for Refugees,905,1,survey,194,https://microdata.unhcr.org/index.php/catalog/194,,
UNHCR-SOM-LIS-2017-v2.1,3,licensed,Livelihoods Programme Monitoring Beneficiary Survey in 2017,Somalia,2017,2017,EHA,East and Horn of Africa,2019-12-19T21:25:17+00:00,2019-12-19T21:28:03+00:00,89,15339,United Nations High Commissioner for Refugees,817,1,survey,195,https://microdata.unhcr.org/index.php/catalog/195,,
UNHCR-KEN-LIS-2017-v2.1,3,licensed,Livelihoods Programme Monitoring Beneficiary Survey in 2017,Kenya,2017,2017,EHA,East and Horn of Africa,2019-12-19T21:29:17+00:00,2019-12-19T21:32:22+00:00,89,16492,United Nations High Commissioner for Refugees,846,1,survey,196,https://microdata.unhcr.org/index.php/catalog/196,,
UNHCR-CHD-LIS-2017-v2.1,3,licensed,Livelihoods Programme Monitoring Beneficiary Survey in 2017,Chad,2017,2017,WA,West and Central Africa,2019-12-19T21:35:38+00:00,2019-12-19T21:42:05+00:00,89,18153,United Nations High Commissioner for Refugees,1204,1,survey,197,https://microdata.unhcr.org/index.php/catalog/197,,
UNHCR-ARG-LIS-2017-v2.1,3,licensed,Livelihoods Programme Monitoring Beneficiary Survey in 2017,Argentina,2017,2017,SA,Americas,2019-12-23T08:18:02+00:00,2019-12-23T08:21:57+00:00,89,19122,United Nations High Commissioner for Refugees,952,1,survey,198,https://microdata.unhcr.org/index.php/catalog/198,,
UNHCR-ETH-2017-LIS-2.1,3,licensed,Livelihoods Programme Monitoring Beneficiary Survey in 2017,Ethiopia,2017,2017,EHA,East and Horn of Africa,2019-12-23T10:43:43+00:00,2019-12-23T10:47:30+00:00,89,13905,United Nations High Commissioner for Refugees,1000,1,survey,199,https://microdata.unhcr.org/index.php/catalog/199,,
UNHCR-CMR-2015-SENS_v1_3,3,licensed,"SENS survey in the Central African refugee sites of the eastern region and Adamou in Cameroon, January and March 2015",Cameroon,2015,2015,WA,West and Central Africa,2020-01-09T21:33:19+00:00,2020-01-09T21:43:20+00:00,125,17106,UNHCR,1050,1,survey,200,https://microdata.unhcr.org/index.php/catalog/200,,
UNHCR_SENS_TCD_2019_v1,3,licensed,SENS in Refugee Camps and Host Villages in South Chad and the Lac Region 2019,Chad,2018,2019,WA,West and Central Africa,2020-01-16T10:19:08+00:00,2020-05-04T08:54:39+00:00,124,17541,"United Nations High Commissioner for Refugees, , , , ",916,1,survey,202,https://microdata.unhcr.org/index.php/catalog/202,,
UNHCR-TCD-2017-SEA-1.1,3,licensed,Socio-economic assessment of refugees in 2017,Chad,2017,2017,WA,West and Central Africa,2020-01-16T12:26:08+00:00,2020-01-16T15:48:06+00:00,89,8651,United Nations High Commissioner for Refugees,662,1,survey,203,https://microdata.unhcr.org/index.php/catalog/203,,
UNHCR-TCD-2015-SEA-1.1,3,licensed,Socio-economic assessment of refugees in Gozamir and Belom camps 2015,Chad,2014,2015,WA,West and Central Africa,2020-01-16T12:41:40+00:00,2020-01-16T15:48:45+00:00,74,12945,United Nations High Commissioner for Refugees,452,1,survey,204,https://microdata.unhcr.org/index.php/catalog/204,,
UNHCR_ZWE_SEA_2017_v2.1,3,licensed,Socio-economic assessment of refugees in Tongogara camp 2017,Zimbabwe,2017,2017,SAO,Southern Africa,2020-01-16T13:11:13+00:00,2020-01-16T15:48:55+00:00,356,80323,UNHCR,8365,1,survey,205,https://microdata.unhcr.org/index.php/catalog/205,,
UNHCR_UGA_KAP_2018_KYANGWALI_v2.1,3,licensed,"WASH KAP Survey, Kyangwali Refugee Settlement 2018",Uganda,2018,2018,EHA,East and Horn of Africa,2020-01-16T14:38:04+00:00,2020-01-16T15:46:36+00:00,44,9313,"UNHCR, Action Africa Help, Lutheran World Federation",1143,1,survey,206,https://microdata.unhcr.org/index.php/catalog/206,,
UNHCR_UGA_KAP_2018_PALORINYA_v2.1,3,licensed,"WASH KAP Survey, Palorinya Refugee settlement zone 3 - 2018",Uganda,2018,2018,EHA,East and Horn of Africa,2020-01-16T15:34:34+00:00,2020-01-16T15:45:03+00:00,167,21967,"Norwegian Refugee Council, UNHCR",2019,1,survey,207,https://microdata.unhcr.org/index.php/catalog/207,,
UNHCR_BGD_MSNA_2019_JUNE_v2.1,3,licensed,"Multi Sector Needs Assessment: Cox’s Bazar, Rohingya Refugee Response – June 2019",Bangladesh,2019,2019,ASIA,Asia Pacific,2020-01-19T17:34:51+00:00,2020-01-20T09:25:45+00:00,309,51205,"UNHCR, IOM Needs and Population Monitoring, ACAPS, WFP VAM, REACH",5679,1,survey,208,https://microdata.unhcr.org/index.php/catalog/208,,
UNHCR_BGD_SHELTER_2019_v2.1,3,licensed,Shelter Need Assessment Cox's Bazar 2019,Bangladesh,2019,2019,ASIA,Asia Pacific,2020-01-21T13:37:04+00:00,2020-01-21T13:39:53+00:00,16,6232,UNHCR,604,1,survey,209,https://microdata.unhcr.org/index.php/catalog/209,,
UNHCR_BGD_PDM_2018_JULY_v2.1,3,licensed,Post-Distribution Monitoring Cash-Based Interventions - July 2018,Bangladesh,2018,2018,ASIA,Asia Pacific,2020-01-29T17:07:20+00:00,2020-01-29T17:07:42+00:00,103,16608,UNHCR,18959,1,survey,210,https://microdata.unhcr.org/index.php/catalog/210,,
UNHCR_BGD_PDM_2018_SEPTEMBER_v2.1,3,licensed,Post Distribution Monitoring shelter and non-food items - September 2018,Bangladesh,2018,2018,ASIA,Asia Pacific,2020-01-29T17:22:48+00:00,2020-01-29T17:33:26+00:00,444,55804,UNHCR,3498,1,survey,211,https://microdata.unhcr.org/index.php/catalog/211,,
DDI_ETH_UNHCR_SENS_2017_v1.0,3,licensed,"Joint Standardized Expanded Nutrition Survey Final Report (Aysaita & Berhale) Refugee Camps, Afar Region, Ethiopia (September 2017)",Ethiopia,2017,2017,EHA,East and Horn of Africa,2020-02-13T13:36:56+00:00,2020-03-25T19:41:30+00:00,0,1678,"UNHCR, ARRA, WFP, GOAL",487,1,survey,212,https://microdata.unhcr.org/index.php/catalog/212,,
UNHCR_UGA_2019_KAP_Kyangwali_v2.1,3,licensed,"WASH KAP Survey Kyangwali Refugee Camp, November 2019",Uganda,2019,2019,EHA,East and Horn of Africa,2020-02-13T13:47:13+00:00,2020-05-20T11:33:46+00:00,99,12998,UNHCR,1183,1,survey,213,https://microdata.unhcr.org/index.php/catalog/213,,
UNHCR_GRC_PROFILING_2019_v2.1,3,licensed,"Thessaloniki: Profiling of Refugees, Asylum Seekers and Third Country Nationals not registered with the Asylum Service. Potential and Obstacles to Local Integration.  2019",Greece,2018,2018,EURO,Europe,2020-02-13T14:03:21+00:00,2020-02-13T14:08:09+00:00,400,45676,"Municipality of Thessaloniki, United Nations High Commissioner for Refugees (UNHCR), JIPS, International Organisation for Migration (IOM), Norwegian Refugee Council (NRC), Alkyone Refugee Day Care Centre, Danish Refugee Council (DRC), Arsis Association for the Social Support of Youth, Solidarity",997,1,survey,214,https://microdata.unhcr.org/index.php/catalog/214,,
UNHCR_LBN_2019_VASYR_v2.1,3,licensed,Vulnerability Assessment of Syrian Refugees - 2019,Lebanon,2019,2019,MENA,Middle East and North Africa,2020-02-14T14:49:36+00:00,2020-05-20T11:20:31+00:00,645,62647,"UNHCR, WFP, UNICEF",1094,1,survey,215,https://microdata.unhcr.org/index.php/catalog/215,,
UNHCR_BGD_2018_WASH_SWEEP_v21,3,licensed,WASH Assessments in UNHCR Bangladesh Supported Camps 2018,Bangladesh,2018,2018,ASIA,Asia Pacific,2020-02-20T15:17:44+00:00,2022-12-14T10:47:47+00:00,84,17074,UNHCR,632,1,survey,216,https://microdata.unhcr.org/index.php/catalog/216,,
UNHCR_IRQ_2016_PROFILING_v2.1,3,licensed,Profiling of South and Central Governorates - 2016,Iraq,2016,2016,MENA,Middle East and North Africa,2020-02-21T13:15:00+00:00,2023-12-08T21:50:52+00:00,102,15680,"Ministry of Displacement and Migration in Iraq Department of Information and Research, UNHCR, Joint IDP Profiling Service, Statistics Norway",591,1,survey,218,https://microdata.unhcr.org/index.php/catalog/218,,
UNHCR_LBN_2019_VASYR_Arsaal_v2.1,3,licensed,Vulnerability Assessment of Syrian Refugees in Arsaal - 2019,Lebanon,2019,2019,MENA,Middle East and North Africa,2020-03-02T08:43:01+00:00,2020-05-20T11:20:16+00:00,618,64226,"UNHCR, WFP, UNICEF",648,1,survey,220,https://microdata.unhcr.org/index.php/catalog/220,,
UNHCR-CMR-2016-AUB-2.1,3,licensed,Analysis and Refinement of Targeting Mechanisms for Food and Multipurpose Cash Assistance to Central African Republic Refugees - 2016,Cameroon,2016,2016,WA,West and Central Africa,2020-03-02T08:46:48+00:00,2022-12-19T13:45:22+00:00,586,52476,UNHCR,870,1,survey,221,https://microdata.unhcr.org/index.php/catalog/221,,
UNHCR_LBN_2017_VASYRv2.1,3,licensed,Vulnerability Assessment of Syrian Refugees - 2017,Lebanon,2017,2017,MENA,Middle East and North Africa,2020-03-23T22:28:11+00:00,2020-03-23T22:42:04+00:00,566,64266,"UNHCR, UNICEF, WFP",978,1,survey,222,https://microdata.unhcr.org/index.php/catalog/222,,
UNHCR_LBN_2016_VASYRv2.1,3,licensed,Vulnerability Assessment of Syrian Refugees - 2016,Lebanon,2016,2017,MENA,Middle East and North Africa,2020-03-24T17:47:02+00:00,2020-03-24T17:59:51+00:00,473,52645,"UNHCR, UNICEF, WFP",1027,1,survey,223,https://microdata.unhcr.org/index.php/catalog/223,,
UNHCR_SSD_2019_Reg_IntentionSurv_v2.1,3,licensed,"Regional Intention Survey of South Sudanese Refugees in Central African Republic, Democratic Republic of The Congo, Ethiopia, Kenya, Sudan and Uganda (June 2019)","South Sudan, Central Africal Republic, Democratic Republic of Congo, Ethiopia, Kenya, Sudan, Uganda",2019,2019,EHA,East and Horn of Africa,2020-03-25T12:25:35+00:00,2020-05-20T11:32:04+00:00,147,24261,UNHCR,1666,1,survey,224,https://microdata.unhcr.org/index.php/catalog/224,,
UNHCR_TZA_2017_SENS_KIGOMA_v2.1,3,licensed,"Standardized Expanded Nutrition Survey (SENS) in Kigoma Refugee Camps (Nyarugusu, Nduta and Mtendeli) - October 2017",Tanzania,2017,2017,EHA,East and Horn of Africa,2020-03-25T12:47:17+00:00,2020-05-20T11:32:15+00:00,120,17479,UNHCR,882,1,survey,225,https://microdata.unhcr.org/index.php/catalog/225,,
UNHCR_TZA_2018_SENS_KIGOMA_v2.1,3,licensed,"Standardized Expanded Nutrition Survey (SENS) in Kigoma Refugee Camps (Nyarugusu, Nduta and Mtendeli) - October 2018",Tanzania,2018,2018,EHA,East and Horn of Africa,2020-03-25T13:55:04+00:00,2020-05-20T11:32:27+00:00,119,14324,UNHCR,592,1,survey,226,https://microdata.unhcr.org/index.php/catalog/226,,
UNHCR_SDN_PROFILING_2019_v2.1,3,licensed,"Progress Towards Durable Solutions in Abu Shouk and El Salam IDP Camps, 2019",Sudan,2018,2018,EHA,East and Horn of Africa,2020-03-30T12:01:44+00:00,2020-03-30T12:04:50+00:00,565,61451,"Sudanese Government's Joint Mechanism for Durable Solutions, Joint IDP Profiling Service, Durable Solutions Working Group, World Bank, Department for International Development, Swiss Development Cooperation, Cathotlic Relief Services, Plan International, UNHCR",1607,1,survey,227,https://microdata.unhcr.org/index.php/catalog/227,,
UNHCR_TZA_2016_SENS_KIGOMA_v2.1,3,licensed,"Standardized Expanded Nutrition Survey (SENS) in Kigoma Refugee Camps (Nyarugusu, Nduta and Mtendeli) - December 2016",Tanzania,2016,2016,EHA,East and Horn of Africa,2020-03-31T03:14:49+00:00,2020-05-20T11:32:39+00:00,108,12252,UNHCR,485,1,survey,228,https://microdata.unhcr.org/index.php/catalog/228,,
UNCHR_UGA_MSNA_2018_v2,3,licensed,Joint Multi-Sector Needs Assessment - 2018,Uganda,2018,2018,EHA,East and Horn of Africa,2020-04-01T03:38:16+00:00,2022-12-14T10:45:32+00:00,374,35761,"UNHCR, REACH",2212,1,survey,229,https://microdata.unhcr.org/index.php/catalog/229,,
UNHCR_KEN_SEA_2018_v2.1,3,licensed,Socio-economic Profiling Survey of Refugees in Kalobeyei 2018,Kenya,2018,2019,EHA,East and Horn of Africa,2020-05-06T13:43:43+00:00,2020-05-06T13:51:35+00:00,271,51826,United Nations High Commissioner for Refugees,254469,1,survey,232,https://microdata.unhcr.org/index.php/catalog/232,,
UNHCR_TZA_2019_SENS_KIGOMA_v2.1,3,licensed,"Standardized Expanded Nutrition Survey (SENS) in Kigoma Refugee Camps (Nyarugusu, Nduta and Mtendeli) - October 2019",Tanzania,2019,2019,EHA,East and Horn of Africa,2020-06-02T09:31:06+00:00,2020-06-02T11:22:40+00:00,158,59529,UNHCR,1660,1,survey,235,https://microdata.unhcr.org/index.php/catalog/235,,
UNHCR-KEN-2016-Pemba-v2.1,3,licensed,Measuring statelessness: A study of the Pemba - 2016,Kenya,2016,2016,EHA,East and Horn of Africa,2020-06-18T13:56:51+00:00,2020-06-18T14:03:12+00:00,62,10429,"UNHCR, Norway Refugee Council",1848,1,survey,236,https://microdata.unhcr.org/index.php/catalog/236,,
UNHCR_TZA_2019_CookingFuels_Kibondo_v2.1,3,licensed,Alternative Cooking Fuels and Training Programme - 2019,Tanzania,2019,2019,EHA,East and Horn of Africa,2020-06-21T05:33:41+00:00,2020-06-30T09:48:28+00:00,173,18500,UNHCR,884,1,survey,237,https://microdata.unhcr.org/index.php/catalog/237,,
UNHCR_LBN_COVID_2020_v2.1,3,licensed,"COVID19 Refugee Household Monitoring, 2020",Lebanon,2020,2020,MENA,Middle East and North Africa,2020-06-23T12:17:58+00:00,2020-06-23T12:21:22+00:00,452,62738,UNHCR,1536,1,survey,238,https://microdata.unhcr.org/index.php/catalog/238,,
UNHCR-LBN-MEED-2020-WAVE1-SYR-v2.1,3,licensed,"Monitoring of the Effects of Economic Deterioration on Refugee Households, Wave 1 (SYR) 2020",Lebanon,2020,2020,MENA,Middle East and North Africa,2020-06-23T13:52:32+00:00,2020-06-23T13:52:43+00:00,52,12585,UNHCR,1057,1,survey,239,https://microdata.unhcr.org/index.php/catalog/239,,
UNHCR_LBN_MEED_2020_WAVE2_SYR_v2.1,3,licensed,"Monitoring of the Effects of Economic Deterioration on Refugee Households, Wave 2 (SYR) 2020",Lebanon,2020,2020,MENA,Middle East and North Africa,2020-06-23T13:56:13+00:00,2020-06-23T13:56:26+00:00,80,16339,UNHCR,966,1,survey,240,https://microdata.unhcr.org/index.php/catalog/240,,
UNHCR_KEN_2020_PDM_CBI_KALOBEYEI_v2.1,3,licensed,"Post Distribution Monitoring Survey in Kalobeyei Settlement, March 2020",Kenya,2020,2020,EHA,East and Horn of Africa,2020-06-28T09:10:29+00:00,2020-09-23T08:24:43+00:00,147,13974,UNHCR,978,1,survey,242,https://microdata.unhcr.org/index.php/catalog/242,,
UNHCR-LBN-MEED-2020-WAVE1-RON-v2.1,3,licensed,"Monitoring of the Effects of Economic Deterioration on Refugee Households, Wave 1 (RON) 2020",Lebanon,2020,2020,MENA,Middle East and North Africa,2020-06-30T12:53:43+00:00,2020-06-30T12:54:00+00:00,52,12221,UNHCR,1111,1,survey,243,https://microdata.unhcr.org/index.php/catalog/243,,
UNHCR-LBN-MEED-2020-WAVE2-RON-v2.1,3,licensed,"Monitoring of the Effects of Economic Deterioration on Refugee Households, Wave 2 (RON) 2020",Lebanon,2020,2020,MENA,Middle East and North Africa,2020-06-30T12:59:44+00:00,2020-06-30T13:00:12+00:00,80,13687,UNHCR,1030,1,survey,244,https://microdata.unhcr.org/index.php/catalog/244,,
UNHCR_BRA_SEA_2019,3,licensed,"Socio-economic profile of refugees, 2018-2019",Brazil,2018,2019,SA,Americas,2020-07-13T11:50:21+00:00,2020-07-13T11:56:14+00:00,483,42369,UNHCR,1082,1,survey,246,https://microdata.unhcr.org/index.php/catalog/246,,
UNHCR_BGD_2019_WASHKAP_v1.0,3,licensed,"WASH KAP Survey in  Rohingya Cox’s Bazar, November 2019",Bangladesh,2019,2019,ASIA,Asia Pacific,2020-08-10T14:20:46+00:00,2020-08-20T14:28:45+00:00,279,32371,UNHCR,1300,1,survey,249,https://microdata.unhcr.org/index.php/catalog/249,,
UNCHR_SSD_2017_WASHKAP_v2.1,3,licensed,KAP WASH 2017 in South Sudan's Ajuong Thok and Pamir Camps,South Sudan,2017,2017,EHA,East and Horn of Africa,2020-08-24T09:48:16+00:00,2020-08-24T09:53:52+00:00,66,9972,"UNHCR, Samaritan's Purse",1074,1,survey,251,https://microdata.unhcr.org/index.php/catalog/251,,
